timestamp,trade_id,event,side,price,amount,pnl,fees,score,confidence,reason,type
2026-04-28T11:32:58.326829,1,ENTRY,BUY,0.10,331.77685894,0.00,0.0000,0.086598,0.086598,Score:0.144 SMC:Neutral (MR:0.0 OB:0.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:0.5 SMC:0.0 SR:1.0 KDJ:0.0 ST:-1.0) MTF(5m:BEAR 15m:BEAR 1h:NEU) SR5m:S@0/R@0 [MTF soft: counter-trend penalty],
2026-04-28T11:48:43.314541,1,EXIT,SELL,0.10,331.77685894,-0.15,0.0262,0.000000,0.000000,,MANUAL_CLOSE
2026-04-28T11:49:31.134997,1,ENTRY,BUY,0.10,665.46818749,0.00,0.0000,0.082600,0.082600,Score:0.138 SMC:Neutral (MR:1.0 OB:1.0 VWAP:1.0 BB:1.0 MACD:-1.0 PA:-0.5 SMC:0.0 SR:1.0 KDJ:0.0 ST:-1.0) MTF(5m:BEAR 15m:BEAR 1h:NEU) SR5m:S@0/R@0 [MTF soft: counter-trend penalty],
2026-04-28T11:54:38.408453,1,EXIT,SELL,0.10,665.46818749,0.01,0.0525,0.000000,0.000000,,MANUAL_CLOSE
2026-04-28T11:55:22.634483,1,ENTRY,SELL,0.10,617.18949315,0.00,0.0000,-0.125654,0.125654,Score:-0.126 SMC:Neutral (MR:0.0 OB:-1.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:-0.5 SMC:0.0 SR:1.0 KDJ:0.0 ST:-1.0 PP:-1.0) MTF(5m:BEAR 15m:BEAR 1h:NEU) SR5m:S@0/R@0,
2026-04-28T12:09:16.810634,1,EXIT,BUY,0.10,617.18949315,0.04,0.0487,0.000000,0.000000,,MANUAL_CLOSE
2026-04-28T12:10:18.330343,1,ENTRY,SELL,0.10,1699.36636054,0.00,0.0000,-0.352007,0.352007,Score:-0.352 SMC:BOS Bear Pivot:Between PP (MR:1.0 OB:-1.0 VWAP:1.0 BB:1.0 MACD:-1.0 PA:0.0 SMC:-1.0 SR:0.0 KDJ:0.0 ST:-1.0 PP:-0.10) MTF(15m:BEAR 1h:NEU 4h:BULL) SR15m:S@0/R@0,
2026-04-28T12:20:24.945127,1,EXIT,BUY,0.10,1699.36636054,0.15,0.1339,0.000000,0.000000,,TRAIL_WIN
2026-04-28T12:20:30.416625,2,ENTRY,SELL,0.10,1724.89659159,0.00,0.0000,-0.318562,0.318562,Score:-0.319 SMC:BOS Bear Pivot:Between PP (MR:1.0 OB:-1.0 VWAP:1.0 BB:1.0 MACD:-1.0 PA:0.5 SMC:-1.0 SR:0.0 KDJ:0.0 ST:-1.0 PP:-0.10) MTF(15m:BEAR 1h:NEU 4h:NEU) SR15m:S@0/R@0,
2026-04-28T12:32:44.688504,2,EXIT,BUY,0.10,1724.89659159,-0.34,0.1359,0.000000,0.000000,,MANUAL_CLOSE
2026-04-28T12:34:17.103088,1,ENTRY,SELL,0.10,1699.88377646,0.00,0.0000,-0.352007,0.352007,Score:-0.352 SMC:BOS Bear Pivot:Between PP (MR:1.0 OB:0.0 VWAP:1.0 BB:0.0 MACD:-1.0 PA:-0.5 SMC:-1.0 SR:0.0 KDJ:0.0 ST:-1.0 PP:-0.10) MTF(15m:BEAR 1h:NEU 4h:BULL) SR15m:S@0/R@0,
2026-04-28T12:44:37.129851,1,EXIT,BUY,0.10,1699.88377646,-0.37,0.1341,0.000000,0.000000,,MANUAL_CLOSE
2026-04-28T12:45:26.788783,1,ENTRY,SELL,0.10,1266.46403242,0.00,0.0000,-0.087452,0.087452,Score:-0.087 SMC:Neutral Pivot:Between PP (MR:0.0 OB:-1.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:0.5 SMC:0.0 SR:0.0 KDJ:-1.0 ST:-1.0 PP:-0.10) MTF(15m:BEAR 1h:NEU 4h:BULL) SR15m:S@0/R@0,
2026-04-28T12:48:22.571282,1,EXIT,BUY,0.10,1266.46403242,-0.28,0.1001,0.000000,0.000000,,MANUAL_CLOSE
2026-04-28T12:49:07.965398,1,ENTRY,BUY,0.10,1264.54223571,0.00,0.0000,0.171103,0.171103,Score:0.171 SMC:Neutral Pivot:Between PP (MR:0.0 OB:1.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:-0.5 SMC:0.0 SR:1.0 KDJ:0.0 ST:-1.0 PP:-0.10) MTF(15m:BEAR 1h:NEU 4h:BULL) SR15m:S@0/R@0,
2026-04-28T12:51:17.607746,1,EXIT,SELL,0.10,1264.54223571,0.13,0.1001,0.000000,0.000000,,MANUAL_CLOSE
2026-04-28T12:52:01.032408,1,ENTRY,BUY,0.10,5055.10059650,0.00,0.0000,0.102662,0.102662,Score:0.103 SMC:Neutral Pivot:Between PP (MR:0.0 OB:0.0 VWAP:1.0 BB:0.0 MACD:1.0 PA:-0.5 SMC:0.0 SR:1.0 KDJ:0.0 ST:-1.0 PP:0.10) MTF(15m:BEAR 1h:NEU 4h:BULL) SR15m:S@0/R@0,
2026-04-28T13:04:07.657091,1,EXIT,SELL,0.10,5055.10059650,-0.25,0.3999,0.000000,0.000000,,MANUAL_CLOSE
